trn_episode,trn_grid,trn_distance,tst_episode,tst_grid,tst_distance,steps
Episode4,occ_grid_2_free,44.72,Episode10,occ_grid_west_north,63.25,56
Episode4,occ_grid_2_free,44.72,Episode10,occ_grid_west_south,63.25,106
Episode4,occ_grid_2_free,44.72,Episode10,occ_grid_middle_north,63.25,56
Episode4,occ_grid_2_free,44.72,Episode10,occ_grid_middle_south,63.25,56
Episode4,occ_grid_2_free,44.72,Episode10,occ_grid_east_north,63.25,56
Episode4,occ_grid_2_free,44.72,Episode10,occ_grid_east_south,63.25,56
Episode4,occ_grid_2_free,44.72,Episode6,occ_grid_west_north,210.95,161
Episode4,occ_grid_2_free,44.72,Episode6,occ_grid_west_south,210.95,191
Episode4,occ_grid_2_free,44.72,Episode6,occ_grid_middle_north,210.95,161
Episode4,occ_grid_2_free,44.72,Episode6,occ_grid_middle_south,210.95,179
Episode4,occ_grid_2_free,44.72,Episode6,occ_grid_east_north,210.95,161
Episode4,occ_grid_2_free,44.72,Episode6,occ_grid_east_south,210.95,211
Episode4,occ_grid_2_free,44.72,Episode18,occ_grid_1,174.93,294
Episode4,occ_grid_2_free,44.72,Episode18,occ_grid_1a,174.93,1718
Episode4,occ_grid_2_free,44.72,Episode18,occ_grid_1b,174.93,294
Episode4,occ_grid_2_free,44.72,Episode18,occ_grid_1c,174.93,1826
Episode4,occ_grid_2_free,44.72,Episode18,occ_grid_1d,174.93,20805
Episode4,occ_grid_2_free,44.72,Episode18,occ_grid_1e,174.93,3573
